epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1685.5,0.42919,0.35262,0.33779,0.83586,1,0.96666,0.99176,0.89636,1,0.96666,0.99176,0.90342,0.41446,0.51463,0.39554,0.798,0.0006932,0.0006932,0.0006932
68,1696.68,0.3855,0.29134,0.32581,0.82288,0.99583,0.93939,0.98711,0.89738,0.99583,0.93939,0.98711,0.87986,0.41023,0.67988,0.41449,0.79876,0.0006734,0.0006734,0.0006734
69,1702.9,0.372,0.27189,0.3179,0.82852,0.96967,0.96896,0.99068,0.88146,0.96967,0.96896,0.99068,0.87947,0.48157,0.69925,0.64513,0.80687,0.0006536,0.0006536,0.0006536
70,1709.1,0.36815,0.2551,0.31436,0.82733,1,0.9064,0.9844,0.86292,1,0.9064,0.9844,0.86564,0.51027,0.75463,0.86285,0.81518,0.0006338,0.0006338,0.0006338
71,1715.36,0.39238,0.28622,0.3221,0.82351,1,0.90671,0.98539,0.88839,1,0.90671,0.98539,0.87457,0.46639,0.88488,0.59326,0.79848,0.000614,0.000614,0.000614
72,1721.53,0.37188,0.29057,0.30936,0.827,1,0.9366,0.98772,0.89639,1,0.9366,0.98772,0.86862,0.47498,0.83961,0.43311,0.79481,0.0005942,0.0005942,0.0005942
73,1727.7,0.36429,0.29556,0.3094,0.81945,0.99741,0.93939,0.98851,0.88179,0.99741,0.93939,0.98851,0.87792,0.48401,0.70296,0.38991,0.7947,0.0005744,0.0005744,0.0005744
74,1733.91,0.37974,0.30697,0.31176,0.81701,0.99563,0.93939,0.98862,0.90226,0.99563,0.93939,0.98862,0.89502,0.45793,0.59231,0.44283,0.8099,0.0005546,0.0005546,0.0005546
75,1740.18,0.35781,0.26511,0.30821,0.81029,0.93802,0.9697,0.98644,0.90544,0.93802,0.9697,0.98644,0.87681,0.39247,0.58335,0.43904,0.80146,0.0005348,0.0005348,0.0005348
76,1746.43,0.36652,0.27485,0.30537,0.81574,1,0.9327,0.98524,0.90798,1,0.9327,0.98524,0.89956,0.3789,0.56601,0.41828,0.79673,0.000515,0.000515,0.000515
77,1752.63,0.36783,0.28812,0.31135,0.84042,0.96732,0.93939,0.98711,0.88138,0.96732,0.93939,0.98711,0.88767,0.38958,0.56374,0.43089,0.79682,0.0004952,0.0004952,0.0004952
78,1758.84,0.35932,0.29644,0.304,0.81141,0.93875,1,0.99238,0.91869,0.93875,1,0.99238,0.88853,0.34145,0.5029,0.35634,0.78931,0.0004754,0.0004754,0.0004754
79,1764.94,0.349,0.24167,0.29413,0.83839,1,0.99276,0.995,0.92267,1,0.99276,0.995,0.91712,0.32962,0.44372,0.34899,0.7836,0.0004556,0.0004556,0.0004556
80,1771.22,0.33905,0.28205,0.29814,0.8145,0.97037,0.99273,0.99412,0.93622,0.97037,0.99273,0.99412,0.9367,0.34517,0.39884,0.32789,0.77935,0.0004358,0.0004358,0.0004358
81,1777.67,0.34394,0.30286,0.29006,0.81224,0.97047,0.99583,0.99412,0.93108,0.97047,0.99583,0.99412,0.92283,0.34591,0.42585,0.32735,0.77935,0.000416,0.000416,0.000416
82,1783.97,0.33032,0.27363,0.28674,0.81391,0.99598,0.9697,0.99412,0.93979,0.99598,0.9697,0.99412,0.9216,0.3647,0.4515,0.32652,0.78814,0.0003962,0.0003962,0.0003962
